experiment,item,version,condition,item_id,item_type,stimulus
1,6,c,nonafforded,6_nonafforded,critical,"Bill was working on painting his barn. He reached most of it from the ground, but part of the wall was too high to reach without a ladder. Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a hammer to finish painting the wall. "
1,7,a,afforded,7_afforded,critical,"Phil was trying to get a barbecue going early in the morning for a tailgater. He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a map and used it to fan the fire. "
1,7,b,nonafforded,7_nonafforded,critical,"Phil was trying to get a barbecue going early in the morning for a tailgater. He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a rock and used it to fan the fire. "
1,7,c,related,7_related,critical,"Phil was trying to get a barbecue going early in the morning for a tailgater. He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a bellows and used it to fan the fire. "
1,8,a,nonafforded,8_nonafforded,critical,"Peggy was babysitting her infant nephew while she cooked dinner. He was being fussy, but she had few toys to occupy him. She gave him a large refrigerator to play with. "
1,8,b,related,8_related,critical,"Peggy was babysitting her infant nephew while she cooked dinner. He was being fussy, but she had few toys to occupy him. She gave him a red beanbag to play with. "
1,8,c,afforded,8_afforded,critical,"Peggy was babysitting her infant nephew while she cooked dinner. He was being fussy, but she had few toys to occupy him. She gave him a plastic spoon to play with. "
1,9,a,nonafforded,9_nonafforded,critical,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the electric outlet as a coat rack. "
1,9,b,afforded,9_afforded,critical,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the vacuum cleaner as a coat rack. "
1,9,c,related,9_related,critical,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the door knob as a coat rack. "
1,10,a,related,10_related,critical,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan pulled out of his golf bag a screw driver and used that to chisel an inch of ice off his windshield. "
1,10,b,afforded,10_afforded,critical,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan pulled out of his golf bag a seven iron and used that to chisel an inch of ice off his windshield. "
1,10,c,nonafforded,10_nonafforded,critical,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan pulled out of his golf bag a ham sandwich and used that to chisel an inch of ice off his windshield. "
1,11,a,afforded,11_afforded,critical,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used her warm thermos to smooth her skirt. "
1,11,b,related,11_related,critical,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used her hair dryer to smooth her skirt. "
1,11,c,nonafforded,11_nonafforded,critical,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used her hair pin to smooth her skirt. "
1,12,a,related,12_related,critical,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home. The manager had a strict rule: If your hair isn’t covered, you cannot work. Aaron used a shower cap to cover his hair. "
1,12,b,nonafforded,12_nonafforded,critical,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home. The manager had a strict rule: If your hair isn’t covered, you cannot work. Aaron used a hamburger bun to cover his hair. "
1,12,c,afforded,12_afforded,critical,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home. The manager had a strict rule: If your hair isn’t covered, you cannot work. Aaron used a sandwich wrapper to cover his hair. "
1,13,a,afforded,13_afforded,critical,"Marissa forgot to bring her pillow on her camping trip. As a substitute for her pillow, she filled up an old sweater with leaves. "
1,13,b,nonafforded,13_nonafforded,critical,"Marissa forgot to bring her pillow on her camping trip. As a substitute for her pillow, she filled up an old sweater with water. "
1,13,c,related,13_related,critical,"Marissa forgot to bring her pillow on her camping trip. As a substitute for her pillow, she filled up an old sweater with clothes. "
1,14,a,related,14_related,critical,"After wading barefoot in the lake, Erik needed something to get dry. He used his towel to dry his feet. "
1,14,b,afforded,14_afforded,critical,"After wading barefoot in the lake, Erik needed something to get dry. He used his shirt to dry his feet. "
1,14,c,nonafforded,14_nonafforded,critical,"After wading barefoot in the lake, Erik needed something to get dry. He used his glasses to dry his feet. "
1,15,a,nonafforded,15_nonafforded,critical,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year. They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on. She looked around and found a bent earring to write the number on. "
1,15,b,related,15_related,critical,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year. They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on. She looked around and found a note pad to write the number on. "
1,15,c,afforded,15_afforded,critical,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year. They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on. She looked around and found a popsicle stick to write the number on. "
1,16,a,afforded,16_afforded,critical,Harry accidentally dropped his book behind his bed. He couldn’t reach it with his hand. He tried to push it out by using a rolled paper. 
1,16,b,related,16_related,critical,Harry accidentally dropped his book behind his bed. He couldn’t reach it with his hand. He tried to push it out by using a mop handle. 
1,16,c,nonafforded,16_nonafforded,critical,Harry accidentally dropped his book behind his bed. He couldn’t reach it with his hand. He tried to push it out by using a smelly sock. 
1,17,a,related,17_related,critical,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. She looked around and found an eraser and some chalk in a cup to use on the blackboard. "
1,17,b,afforded,17_afforded,critical,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. She looked around and found an eraser and some rice in a cup to use on the blackboard. "
1,17,c,nonafforded,17_nonafforded,critical,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom. She looked around and found a brush and some water in a cup to use on the blackboard. "
1,18,a,nonafforded,18_nonafforded,critical,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into her mailbox to get some privacy. "
1,18,b,afforded,18_afforded,critical,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into the lavatory to get some privacy. "
1,18,c,related,18_related,critical,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies. She became so frustrated that she moved the Xerox machine into her office to get some privacy. "
1,19,a,catch,19_catch,catch,Bill noticed that there was water dripping from his ceiling. Please select “4” as your response for this passage.
1,20,a,catch,20_catch,catch,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options. Please respond with “2” to this passage."
1,21,a,catch,21_catch,catch,Richard was digging through a box of junk in his basement. Select “7” as your response.
